1,4096,6144,21,0,0,15,1,0,24,0,0.021033
1,4096,4096,21,0,0,15,1,0,24,0,0.0208077
1,4096,6144,21,0,0,15,1,0,23,0,0.0216064
1,4096,4096,21,0,0,15,1,0,23,0,0.021248
1,4096,28672,21,0,0,15,1,0,18,0,0.0852582
1,14336,4096,21,0,0,15,1,0,24,0,0.049193
1,16384,2560,21,0,0,15,2,1,24,160,0.0410419
1,16384,16384,21,0,0,18,5,1,21,512,0.174776
1,16384,13312,21,0,0,15,1,0,23,0,0.141036
1,6656,16384,21,0,0,15,1,0,24,0,0.0804864
1,1536,2048,21,0,0,15,1,0,23,0,0.0157798
1,1536,1536,21,0,0,15,1,0,23,0,0.0159027
1,1536,17920,21,0,0,15,1,0,18,0,0.0241664
1,8960,1536,21,0,0,15,4,2,23,24576,0.0210432
1,3584,4608,21,0,0,15,1,0,23,0,0.0202035
1,3584,3584,21,0,0,15,1,0,23,0,0.020009
1,3584,37888,21,0,0,18,1,0,24,0,0.0941568
1,18944,3584,21,0,0,18,2,1,24,112,0.0571802
2,4096,6144,21,0,0,15,1,0,23,0,0.0216064
2,4096,4096,21,0,0,15,1,0,23,0,0.0211661
2,4096,28672,21,0,0,15,1,0,18,0,0.0849715
2,14336,4096,21,0,0,15,1,0,24,0,0.0500736
2,16384,2560,21,0,0,15,2,1,24,160,0.0410522
2,16384,16384,21,0,0,18,2,1,24,512,0.175391
2,16384,13312,21,0,0,15,1,0,23,0,0.141097
2,6656,16384,21,0,0,18,1,0,21,0,0.0808243
2,1536,2048,21,0,0,15,1,0,23,0,0.0159744
2,1536,1536,21,0,0,15,1,0,23,0,0.015913
2,1536,17920,21,0,0,15,1,0,18,0,0.0242688
2,8960,1536,21,0,0,18,8,2,24,98304,0.0212378
2,3584,4608,21,0,0,15,1,0,24,0,0.0199782
2,3584,3584,21,0,0,15,1,0,24,0,0.0198758
2,3584,37888,21,0,0,18,1,0,24,0,0.0949555
2,18944,3584,21,0,0,18,2,2,24,57344,0.0576512
3,4096,6144,21,0,0,15,1,0,23,0,0.0216781
3,4096,4096,21,0,0,15,1,0,23,0,0.0212378
3,4096,28672,21,0,0,15,1,0,18,0,0.085975
3,14336,4096,21,0,0,15,1,0,24,0,0.0494694
3,16384,2560,21,0,0,15,2,1,24,160,0.0414413
3,16384,16384,21,0,0,18,2,1,24,512,0.176415
3,16384,13312,21,0,0,15,1,0,23,0,0.141629
3,6656,16384,21,0,0,18,1,0,21,0,0.0810189
3,1536,2048,21,0,0,15,1,0,23,0,0.0159232
3,1536,1536,21,0,0,15,1,0,24,0,0.015913
3,1536,17920,21,0,0,15,1,0,18,0,0.0241971
3,8960,1536,21,0,0,15,4,2,23,73728,0.0212378
3,3584,4608,21,0,0,15,1,0,23,0,0.0203162
3,3584,3584,21,0,0,15,1,0,23,0,0.0200499
3,3584,37888,21,0,0,18,1,0,24,0,0.0955494
3,18944,3584,21,0,0,18,2,1,24,112,0.0574874
4,4096,6144,21,0,0,15,1,0,24,0,0.0216883
4,4096,4096,21,0,0,15,1,0,23,0,0.0210739
